Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
NGC   6483,269.875,-63.66666667,ESO 102-20,Galaxy,,,NGC
NGC   6484,267.925,24.5,UGC 11010,Galaxy,13,,NGC
NGC   6485,267.95,31.46666667,UGC 11014,Galaxy,14,,NGC
NGC   6486,268.15,29.83333333,MCG 5-42-6,Galaxy,15,,NGC
NGC   6487,268.175,29.85,UGC 11022,Galaxy,14,,NGC
NGC   6488,267.325,62.23333333,MCG 10-25-98,Galaxy,14,,NGC
NGC   6489,267.5,60.1,,Galaxy,15,,NGC
NGC   6490,268.625,18.38333333,UGC 11033,Galaxy,14,,NGC
NGC   6491,267.525,61.53333333,UGC 11008,Galaxy,14,,NGC
NGC   6492,270.7,-66.41666667,ESO 102-22,Galaxy,,,NGC
NGC   6493,267.6,61.55,UGC 11011,Galaxy,,1.4,NGC
NGC   6494,269.2,-19.01666667,M 23,Open Cluster,5.5,27,NGC
NGC   6495,268.7,18.33333333,UGC 11034,Galaxy,14,,NGC
NGC   6496,269.75,-44.26666667,GCL 80,Globular Cluster,9.2,6.9,NGC
NGC   6497,267.8,59.5,NGC 6498,Galaxy,14,,NGC
NGC   6498,267.75,59.48333333,NGC 6497,,,,NGC
NGC   6499,268.825,18.38333333,,Double Star,,,NGC
NGC   6500,269,18.33333333,UGC 11048,Galaxy,13,2.5,NGC
NGC   6501,269.025,18.36666667,UGC 11049,Galaxy,12.3,2,NGC
NGC   6502,271.05,-65.41666667,ESO 103-2,Galaxy,,1.2,NGC
NGC   6503,267.35,70.15,UGC 11012,Galaxy,10.2,6.2,NGC
NGC   6504,269,33.2,UGC 11053,Galaxy,13,2.5,NGC
NGC   6505,267.825,65.55,UGC 11026,Galaxy,15,,NGC
NGC   6506,269.95,-24.65,OCL 16,,,,NGC
NGC   6507,269.9,-17.4,OCL 32,Open Cluster,10,7,NGC
